Species,Length1,Length2,Length3,Height,Width,Weight
100,2320,2540,3000,1152,402,24200
100,2400,2630,3120,1248,431,29000
100,2390,2650,3110,1238,470,34000
100,2630,2900,3350,1273,446,36300
100,2650,2900,3400,1244,513,43000
100,2680,2970,3470,1360,493,45000
100,2680,2970,3450,1418,528,50000
100,2760,3000,3500,1267,469,39000
100,2760,3000,3510,1400,484,45000
100,2850,3070,3620,1423,496,50000
100,2840,3100,3620,1426,510,47500
100,2870,3100,3620,1437,481,50000
100,2910,3150,3640,1376,437,50000
100,2950,3200,3730,1391,507,34000
100,2940,3200,3720,1495,517,60000
100,2940,3200,3720,1544,558,60000
100,3040,3300,3830,1486,529,70000
100,3040,3300,3850,1494,520,70000
100,3090,3350,3860,1563,513,61000
100,3100,3350,3870,1447,573,65000
100,3130,3400,3950,1513,557,57500
100,3140,3400,3920,1599,537,68500
100,3150,3450,3970,1552,528,62000
100,3180,3500,4060,1547,613,68000
100,3190,3500,4050,1624,559,70000
100,3180,3500,4090,1636,605,72500
100,3200,3500,4060,1636,609,72000
100,3270,3600,4150,1652,585,71400
100,3280,3600,4160,1689,620,85000
100,3350,3700,4260,1896,660,100000
100,3500,3850,4410,1804,631,92000
100,3500,3850,4400,1808,629,95500
100,3620,3950,4530,1875,675,92500
100,3740,4100,4590,1864,675,97500
100,3800,4100,4650,1762,637,95000
200,1290,1410,1620,415,227,4000
200,1650,1820,2030,530,282,6900
200,1750,1880,2120,558,290,7800
200,1820,1980,2220,562,317,8700
200,1860,2000,2220,622,357,12000
200,1900,2050,2280,648,335,0
200,1910,2080,2310,617,340,11000
200,1940,2100,2370,611,329,12000
200,2040,2200,2470,580,375,15000
200,2050,2200,2430,663,355,14500
200,2050,2250,2530,703,382,16000
200,2100,2250,2500,655,332,14000
200,2110,2250,2500,640,380,16000
200,2200,2400,2720,753,384,16900
200,2200,2340,2670,692,363,16100
200,2210,2350,2680,740,413,20000
200,2360,2520,2790,709,391,18000
200,2400,2600,2920,888,450,29000
