Feature1,Feature2,...,FeatureN,Label
4,51,0,5,9,36
1,54,1,5,6,26
3,60,0,7,7,42
6,54,1,5,5,44
9,78,0,8,0,76
6,99,0,7,6,86
2,64,0,6,5,42
9,89,1,5,3,86
3,53,0,6,7,35
2,60,0,5,7,38
4,52,1,9,2,36
8,96,0,4,3,90
7,87,0,5,3,74
5,80,0,8,9,69
3,55,1,5,2,32
2,60,1,9,7,40
7,48,0,7,7,38
4,56,1,7,3,36
7,51,0,8,2,45
9,96,0,5,9,91
4,85,1,7,1,69
4,84,1,6,9,64
5,96,0,4,9,80
6,71,0,9,8,60
7,53,0,6,0,43
8,94,1,5,3,89
9,67,1,5,6,62
3,91,0,6,2,71
7,64,1,7,0,56
4,59,0,5,6,40
7,65,1,6,5,62
7,94,0,9,6,87
5,82,0,9,5,66
3,78,0,7,8,58
7,48,1,6,3,38
9,60,0,8,8,58
7,94,1,9,4,87
4,99,0,5,3,80
2,62,0,5,1,37
8,83,0,7,8,79
2,81,0,5,8,57
9,47,1,9,1,48
5,93,0,4,2,77
4,84,0,8,8,69
7,58,1,4,5,50
4,73,1,8,7,58
5,68,1,5,5,53
3,45,1,9,2,26
4,71,1,9,5,55
5,63,1,7,4,50
4,43,0,5,1,22
9,81,1,5,1,76
6,82,1,4,1,69
7,57,0,7,7,50
5,81,0,6,5,66
8,64,1,5,6,58
3,41,1,6,1,20
8,77,1,7,5,76
7,65,0,8,0,55
4,56,1,8,6,43
7,81,1,9,6,75
8,50,1,6,6,48
5,56,1,7,6,43
5,55,1,8,0,44
8,71,0,9,5,69
7,73,1,6,8,63
5,42,0,6,2,24
7,65,1,7,0,53
4,97,0,5,7,81
9,97,1,9,1,98
2,61,0,8,7,40
2,63,1,6,9,42
8,69,0,9,1,64
5,56,0,8,0,40
1,96,0,7,1,70
9,53,1,6,9,49
1,67,0,9,4,41
1,77,0,6,1,48
6,81,0,4,8,65
2,95,0,5,5,73
2,95,1,9,7,72
9,76,0,7,2,71
3,84,0,9,0,64
6,90,0,5,4,75
1,53,1,9,6,30
6,77,1,8,4,61
7,82,1,9,7,78
1,71,1,9,6,51
6,54,1,5,2,41
6,56,1,6,2,45
3,58,1,6,1,41
3,78,0,9,3,60
3,54,0,5,0,32
3,48,0,7,5,30
9,51,0,4,8,46
2,60,1,5,9,43
1,64,1,8,0,36
8,40,0,9,8,35
9,99,1,5,7,99
9,63,1,8,1,63
9,80,0,9,2,79
9,80,0,7,8,78
2,52,0,8,4,27
7,88,1,6,0,77
7,55,0,5,4,46
1,78,0,9,7,53
8,56,1,5,8,54
4,66,0,6,9,49
6,69,0,5,6,62
7,42,1,5,4,31
8,88,0,8,2,84
7,99,0,8,7,90
3,53,0,9,3,34
4,62,0,9,9,53
4,67,1,6,2,51
7,49,1,4,5,37
3,43,0,4,9,24
2,48,1,5,0,23
7,93,1,5,2,87
7,95,0,8,9,94
8,51,1,4,0,43
7,57,1,5,5,47
6,72,0,5,4,58
6,54,1,8,5,45
1,94,1,6,3,71
7,91,0,7,0,82
1,84,0,9,6,58
5,56,1,8,8,43
3,97,0,6,0,79
4,53,1,9,8,40
8,87,1,9,1,83
9,55,0,4,4,49
1,47,0,9,2,22
1,51,1,8,7,26
1,54,1,7,7,29
8,56,1,7,3,52
8,61,1,4,2,53
4,49,1,8,6,31
7,57,1,7,7,49
3,86,1,9,5,69
9,94,0,9,1,91
9,78,1,6,5,76
5,81,1,5,1,66
8,48,0,9,6,46
6,74,0,8,9,64
2,95,0,9,4,77
9,93,1,7,9,95
6,64,1,5,1,55
8,76,0,6,0,67
8,70,1,7,3,62
9,52,0,9,8,50
8,95,1,6,6,89
8,82,0,8,5,76
4,96,1,7,9,79
5,74,1,6,5,61
7,76,0,9,2,68
9,45,0,7,9,46
8,69,1,4,4,61
4,86,1,7,2,70
3,87,0,6,8,63
9,54,0,9,8,51
8,72,1,8,7,64
1,73,1,4,2,48
6,70,1,7,3,55
3,85,0,9,7,65
7,58,0,8,6,53
8,56,1,5,6,54
6,79,0,6,9,68
1,83,1,7,2,54
8,70,1,7,5,68
9,72,0,9,0,66
8,57,0,8,5,52
5,70,1,9,7,57
9,80,1,6,4,78
5,48,0,5,5,32
5,44,1,9,2,33
3,46,0,7,7,26
1,46,1,9,4,23
9,54,1,7,7,50
5,75,0,8,7,59
5,47,1,5,8,31
6,98,0,5,9,87
4,48,0,4,4,31
3,63,0,6,1,42
6,76,1,6,9,65
5,98,0,4,0,78
7,40,1,8,6,31
5,60,0,7,8,45
5,78,1,5,9,64
7,85,1,8,0,73
3,40,0,6,1,16
4,63,1,8,5,46
2,97,1,4,4,74
8,67,1,5,8,61
8,62,1,6,1,58
3,40,1,7,3,18
5,87,1,7,0,70
9,77,0,7,1,74
8,56,0,5,4,52
4,87,0,5,9,68
7,54,0,5,9,44
6,59,0,7,3,47
7,86,1,8,6,78
1,98,0,7,9,74
1,42,0,7,1,14
3,45,0,7,4,21
5,62,0,5,9,50
7,46,0,9,8,39
9,58,1,5,1,56
4,77,0,7,8,57
1,88,1,7,4,65
8,94,1,6,4,90
2,61,1,5,1,38
5,40,1,8,9,25
4,75,0,5,9,61
3,69,1,7,3,50
9,90,1,9,8,90
4,60,0,4,1,39
7,53,1,5,1,41
9,79,1,5,3,79
1,57,1,9,1,33
8,76,1,5,4,68
5,50,1,8,3,38
9,51,1,4,7,46
3,70,1,8,3,50
1,96,0,8,6,74
2,91,0,4,7,64
3,63,1,4,9,42
4,89,0,4,8,75
3,43,1,6,6,25
3,98,0,7,2,74
6,92,1,9,8,81
8,61,0,8,9,55
6,99,1,6,4,89
8,93,0,4,9,87
1,40,0,6,0,15
8,41,0,5,9,36
9,77,0,4,0,69
4,42,0,8,9,22
3,70,1,8,1,47
1,81,0,9,7,54
1,92,1,6,8,68
5,68,1,4,1,54
8,58,0,6,1,50
8,65,1,7,1,55
2,41,0,8,8,18
7,59,0,9,1,47
9,93,0,8,9,92
4,95,0,6,7,72
4,73,1,7,8,61
1,73,0,5,8,49
7,55,1,7,1,44
2,87,1,6,7,63
5,76,1,4,5,62
9,83,1,6,8,80
8,87,0,6,7,80
5,94,1,8,9,81
5,52,0,8,1,37
1,49,0,6,8,24
9,68,1,7,2,67
8,76,0,5,8,70
4,75,0,6,5,55
2,54,0,8,8,26
4,49,0,8,5,31
8,65,1,4,2,58
3,98,0,6,4,79
4,40,0,5,1,22
2,75,0,4,9,51
7,56,0,9,1,47
6,76,0,9,6,68
6,73,1,6,0,59
6,48,0,7,8,36
6,40,1,9,7,32
3,70,1,8,8,50
9,79,0,7,7,78
3,41,0,9,6,23
4,99,1,6,1,81
1,83,0,7,2,58
3,91,1,8,5,71
9,92,1,9,5,87
9,93,1,4,4,89
8,60,0,4,6,55
1,96,1,5,6,72
1,95,0,5,4,67
5,46,1,9,9,30
3,86,1,5,1,63
5,94,1,6,3,79
8,92,1,9,2,88
1,77,1,6,6,52
3,66,0,8,1,48
6,45,0,7,4,32
3,90,1,5,6,70
8,41,0,5,5,32
3,43,1,4,0,20
4,67,1,6,1,49
1,61,1,8,6,37
8,62,0,9,7,57
3,97,1,7,2,77
2,73,0,4,0,50
7,83,0,9,8,76
4,91,0,8,0,73
